time,EUR_JPY_Bid,EUR_JPY_Ask,,time,GBP_JPY_Bid,GBP_JPY_Ask
93499,117.375,117.477,,78238,158.707,159.113
93509,117.192,117.294,,78248,158.613,159.019
93519,117.314,117.416,,78259,158.655,159.061
93529,117.159,117.261,,78269,158.737,159.143
93539,117.106,117.208,,78279,158.826,159.185
93549,116.964,117.066,,78289,158.814,159.22
93559,117.392,117.494,,78299,158.995,159.345
93569,117.401,117.503,,78309,159.175,159.561
93579,117.47,117.572,,78319,159.06,159.466
93589,117.564,117.666,,78329,159.172,159.578
93599,117.52,117.622,,78339,159.287,159.654
93609,117.447,117.549,,78350,159.435,159.742
93619,117.604,117.706,,78360,159.312,159.718
93629,117.732,117.834,,78370,159.27,159.663
93640,117.635,117.737,,78380,159.346,159.737
93650,117.469,117.571,,78390,159.374,159.78
93660,117.358,117.46,,78400,159.411,159.706
93670,117.621,117.723,,78410,159.417,159.755
93680,117.801,117.903,,78420,159.476,159.797
93690,117.643,117.745,,78430,159.43,159.836
93700,117.616,117.718,,78440,159.377,159.731
93710,117.631,117.733,,78451,159.397,159.723
93720,117.538,117.64,,78461,159.476,159.756
93732,117.48,117.582,,78471,159.446,159.787
93743,117.458,117.56,,78481,159.533,159.854
93754,117.483,117.585,,78491,159.493,159.791
93764,117.451,117.553,,78501,159.497,159.781
93774,117.692,117.794,,78511,159.431,159.771
93784,117.779,117.881,,78521,159.479,159.723
93794,117.798,117.9,,78531,159.471,159.799
93804,117.871,117.973,,78541,159.427,159.753
93814,117.985,118.087,,78551,159.412,159.781
93824,118.008,118.102,,78561,159.435,159.815
93835,117.954,118.056,,78571,159.473,159.849
93847,117.972,118.067,,78581,159.539,159.804
93857,117.946,118.042,,78593,159.656,159.881
93867,117.999,118.093,,78603,159.618,159.917
93878,118.048,118.15,,78614,159.7,159.926
93888,118.086,118.188,,78624,159.724,159.929
93900,118.086,118.161,,78635,159.717,159.982
93910,117.937,118.039,,78645,159.762,160.04
93920,117.932,118.034,,78655,159.81,160.085
93930,117.948,118.042,,78665,159.81,160.098
93941,118.029,118.089,,78675,159.969,160.236
93954,118.033,118.135,,78685,159.923,160.15
93965,118.072,118.174,,78695,160.012,160.253
93975,118.09,118.192,,78705,160,160.192
93985,118.09,118.192,,78717,159.941,160.182
93996,118.12,118.222,,78727,159.869,160.27
94006,118.167,118.257,,78737,159.818,160.215
94016,118.166,118.268,,78747,159.731,160.136
94026,118.146,118.229,,78757,159.794,160.132
94036,118.162,118.264,,78767,159.717,160.088
94046,118.163,118.263,,78778,159.885,160.198
94056,118.304,118.406,,78788,159.889,160.179
94066,118.308,118.41,,78798,159.928,160.198
94076,118.38,118.482,,78808,159.785,160.191
94086,118.31,118.412,,78818,159.785,160.134
94097,118.441,118.525,,78828,159.829,160.104
94107,118.486,118.588,,78838,159.86,160.125
94117,118.468,118.568,,78849,159.919,160.259
94128,118.501,118.597,,78859,159.912,160.254
94139,118.504,118.606,,78869,159.903,160.22
94152,118.492,118.594,,78880,159.828,160.122
94162,118.419,118.521,,78890,159.797,160.062
94174,118.39,118.489,,78901,159.735,160.035
94184,118.233,118.334,,78913,159.753,160.026
94194,118.079,118.181,,78924,159.824,160.059
94204,118.141,118.243,,78934,159.804,160.138
94215,118.157,118.259,,78944,159.774,160.104
94225,118.125,118.225,,78955,159.772,159.96
94237,117.978,118.044,,78965,159.779,159.972
94247,117.924,118.026,,78975,159.751,160.11
94258,117.932,118.034,,78985,159.783,160.096
94268,117.871,117.963,,78995,159.795,160.052
94278,117.736,117.838,,79006,159.802,160.01
94288,117.861,117.963,,79016,159.742,160.017
94299,117.884,117.986,,79026,159.832,160.055
94309,117.955,118.054,,79036,159.839,160.048
94319,118.031,118.131,,79046,159.82,159.995
94329,118.097,118.199,,79057,159.839,160.064
94339,118.209,118.307,,79067,159.853,160.119
94349,118.24,118.339,,79078,159.874,160.046
94359,118.299,118.389,,79088,159.843,160.009
94369,118.316,118.418,,79098,159.835,159.997
94380,118.298,118.4,,79108,159.828,160.011
94391,118.329,118.421,,79118,159.877,160.049
94401,118.302,118.401,,79128,159.88,160.049
94411,118.274,118.374,,79138,159.829,160.006
94421,118.285,118.379,,79148,159.797,160.028
94431,118.287,118.382,,79158,159.743,159.963
94441,118.273,118.355,,79169,159.772,160.018
94451,118.224,118.309,,79179,159.81,159.985
94461,118.217,118.3,,79192,159.801,159.942
94473,118.224,118.299,,79202,159.755,159.928
94483,118.157,118.248,,79223,159.75,159.957
94493,118.156,118.239,,79234,159.771,159.952
94507,118.243,118.308,,79244,159.673,159.902
94517,118.215,118.306,,79256,159.579,159.794
94527,118.243,118.308,,79269,159.553,159.81
94537,118.165,118.24,,79279,159.552,159.812
94548,118.252,118.326,,79289,159.573,159.759
94558,118.231,118.308,,79299,159.5,159.699
94571,118.306,118.384,,79309,159.351,159.598
94582,118.3,118.383,,79319,158.943,159.346
94593,118.311,118.392,,79329,158.874,159.179
94606,118.338,118.406,,79339,158.799,159.205
94616,118.326,118.42,,79349,158.988,159.276
94626,118.266,118.33,,79359,158.985,159.27
94636,118.261,118.323,,79369,159.112,159.44
94648,118.224,118.287,,79379,159.247,159.564
94659,118.228,118.295,,79389,159.137,159.371
94670,118.242,118.303,,79399,159.132,159.413
94688,118.257,118.319,,79409,159.089,159.373
94698,118.294,118.374,,79419,159.052,159.319
94713,118.353,118.418,,79430,159.063,159.353
94723,118.357,118.43,,79441,159.03,159.31
94740,118.352,118.437,,79451,159.114,159.382
94751,118.291,118.382,,79461,159.179,159.504
94761,118.231,118.308,,79471,159.298,159.619
94771,118.104,118.188,,79481,159.211,159.554
94782,118.075,118.167,,79491,159.261,159.578
94795,118.053,118.149,,79502,159.204,159.493
94805,118.028,118.115,,79512,159.302,159.576
94815,118.106,118.195,,79522,159.242,159.491
94826,118.217,118.303,,79533,159.22,159.462
94838,118.271,118.336,,79543,159.245,159.508
94849,118.247,118.323,,79565,159.185,159.472
94864,118.294,118.369,,79575,159.123,159.464
94874,118.302,118.365,,79585,159.131,159.49
94884,118.303,118.374,,79595,159.166,159.523
94894,118.361,118.432,,79605,159.24,159.528
94904,118.4,118.471,,79615,159.272,159.482
94914,118.4,118.491,,79626,159.273,159.491
94924,118.374,118.451,,79636,159.264,159.471
94934,118.386,118.456,,79654,159.263,159.47
94944,118.385,118.459,,79664,159.229,159.447
94954,118.301,118.372,,79677,159.236,159.419
94965,118.302,118.372,,79687,159.195,159.389
94977,118.308,118.386,,79697,159.202,159.396
94987,118.338,118.397,,79709,159.262,159.439
94998,118.152,118.217,,79719,159.17,159.42
95008,118.195,118.257,,79731,159.223,159.43
95018,118.21,118.266,,79741,159.195,159.404
95029,118.174,118.232,,79752,159.27,159.434
95040,118.053,118.12,,79768,159.255,159.426
95050,118.061,118.124,,79778,159.209,159.447
95060,118.04,118.106,,79793,159.231,159.407
95070,118.032,118.104,,79806,159.236,159.441
95082,118.066,118.129,,79816,159.24,159.435
95092,118.092,118.172,,79826,159.237,159.371
95102,118.1,118.179,,79836,159.172,159.348
95114,118.092,118.159,,79846,159.149,159.342
95124,118.127,118.2,,79857,159.161,159.337
95135,118.129,118.203,,79867,159.165,159.328
95165,118.146,118.207,,79877,159.185,159.292
95181,118.113,118.185,,79887,159.131,159.268
95194,118.08,118.154,,79898,159.092,159.255
95204,118.067,118.131,,79911,159.071,159.237
95214,118.09,118.144,,79934,159.074,159.214
95224,118.151,118.215,,79947,159.059,159.215
95237,118.11,118.172,,79957,159.087,159.234
95248,118.118,118.179,,79967,159.101,159.22
95258,118.146,118.218,,79977,159.107,159.233
95269,118.145,118.206,,79987,159.131,159.274
95279,118.041,118.106,,79997,159.126,159.278
95289,117.991,118.045,,80007,159.054,159.231
95299,117.849,117.94,,80023,159.152,159.326
95310,117.65,117.746,,80033,159.146,159.323
95320,117.547,117.626,,80043,159.275,159.457
95330,117.527,117.606,,80055,159.254,159.434
95340,117.564,117.653,,80072,159.273,159.461
95351,117.64,117.689,,80082,159.306,159.481
95361,117.689,117.759,,80092,159.368,159.575
95371,117.755,117.855,,80102,159.414,159.64
95381,117.806,117.877,,80113,159.433,159.628
95391,117.942,118.039,,80123,159.46,159.659
95401,118.003,118.097,,80133,159.473,159.682
95413,118.028,118.092,,80143,159.488,159.681
95423,118.056,118.118,,80153,159.458,159.627
95433,117.985,118.063,,80164,159.465,159.663
95445,118.024,118.095,,80174,159.532,159.714
95458,118.031,118.092,,80189,159.539,159.706
95468,118.03,118.084,,80199,159.562,159.734
95478,118.017,118.072,,80212,159.58,159.769
95488,118.024,118.094,,80223,159.581,159.775
95501,118.044,118.11,,80236,159.641,159.793
95518,118.039,118.108,,80246,159.649,159.785
95528,118.032,118.1,,80257,159.623,159.748
95538,118.052,118.122,,80267,159.716,159.878
95558,118.049,118.125,,80277,159.715,159.891
95568,118.026,118.104,,80287,159.749,159.944
95581,118.056,118.127,,80297,159.729,159.914
95596,118.057,118.131,,80308,159.806,159.978
95615,118.063,118.138,,80320,159.839,159.997
95625,118.057,118.122,,80330,159.853,159.995
95638,117.945,118.01,,80341,159.8,159.949
95650,117.974,118.036,,80351,159.7,159.881
95660,118.079,118.166,,80361,159.678,159.866
